Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalActiveMinutes,TotalMinutesAsleep,TotalTimeInBed
1503960366,2016-03-25,11004,7.110000134,7.110000134,0.0,2.569999933,0.4600000083,4.070000172,0.0,33,12,205,804,1819,250,,
1503960366,2016-03-26,17609,11.55000019,11.55000019,0.0,6.920000076,0.7300000191,3.910000086,0.0,89,17,274,588,2154,380,,
1503960366,2016-03-27,12736,8.529999733,8.529999733,0.0,4.659999847,0.1599999964,3.710000038,0.0,56,5,268,605,1944,329,,
1503960366,2016-03-28,13231,8.930000305,8.930000305,0.0,3.190000057,0.7900000215,4.949999809,0.0,39,20,224,1080,1932,283,,
1503960366,2016-03-29,12041,7.849999905,7.849999905,0.0,2.160000086,1.090000033,4.610000134,0.0,28,28,243,763,1886,299,,
1503960366,2016-03-30,10970,7.159999847,7.159999847,0.0,2.359999895,0.5099999905,4.289999962,0.0,30,13,223,1174,1820,266,,
1503960366,2016-03-31,12256,7.860000134,7.860000134,0.0,2.289999962,0.4900000095,5.039999962,0.0,33,12,239,820,1889,284,,
1503960366,2016-04-01,12262,7.869999886,7.869999886,0.0,3.319999933,0.8299999833,3.640000105,0.0,47,21,200,866,1868,268,,
1503960366,2016-04-02,11248,7.25,7.25,0.0,3.0,0.4499999881,3.74000001,0.0,40,11,244,636,1843,295,,
1503960366,2016-04-03,10016,6.369999886,6.369999886,0.0,0.9100000262,1.279999971,4.179999828,0.0,15,30,314,655,1850,359,,
1503960366,2016-04-04,14557,9.800000191,9.800000191,0.0,3.390000105,0.6999999881,5.690000057,0.0,43,18,285,757,2030,346,,
1503960366,2016-04-05,14844,9.729999542,9.729999542,0.0,2.940000057,0.7599999905,6.039999962,0.0,36,18,341,736,2083,395,,
1503960366,2016-04-06,11974,7.670000076,7.670000076,0.0,2.039999962,0.4799999893,5.150000095,0.0,27,12,228,1173,1861,267,,
1503960366,2016-04-07,10198,6.440000057,6.440000057,0.0,1.200000048,0.7900000215,4.449999809,0.0,17,20,195,1208,1755,232,,
1503960366,2016-04-08,12521,7.940000057,7.940000057,0.0,3.309999943,0.8999999762,3.74000001,0.0,46,22,212,1160,1895,280,,
1503960366,2016-04-09,12432,8.100000381,8.100000381,0.0,2.589999914,0.5899999738,4.920000076,0.0,32,15,248,738,1883,295,,
1503960366,2016-04-10,10057,6.980000019,6.980000019,0.0,4.0,0.4900000095,2.480000019,0.0,44,13,168,737,1755,225,,
1503960366,2016-04-11,10990,7.260000229,7.260000229,0.0,2.039999962,0.5699999928,4.650000095,0.0,26,14,216,855,1811,256,,
1503960366,2016-04-12,224,0.1400000006,0.1400000006,0.0,0.0,0.0,0.1299999952,0.0,0,0,9,32,50,9,327.0,346.0
1624580081,2016-03-25,1810,1.179999948,1.179999948,0.0,0.0,0.0,1.129999995,0.009999999776,0,0,121,1319,1373,121,,
1624580081,2016-03-26,815,0.5299999714,0.5299999714,0.0,0.0,0.0,0.5299999714,0.0,0,0,47,1393,1264,47,,
1624580081,2016-03-27,1985,1.289999962,1.289999962,0.0,0.0,0.0,1.279999971,0.009999999776,0,0,112,1328,1350,112,,
1624580081,2016-03-28,1905,1.24000001,1.24000001,0.0,0.0,0.0,1.24000001,0.0,0,0,95,1345,1342,95,,
1624580081,2016-03-29,1552,1.00999999,1.00999999,0.0,0.0,0.0,1.0,0.0,0,0,66,1374,1300,66,,
1624580081,2016-03-30,1675,1.090000033,1.090000033,0.0,0.0,0.0,1.090000033,0.0,0,0,84,1356,1313,84,,
1624580081,2016-03-31,4506,2.930000067,2.930000067,0.0,0.5099999905,0.2700000107,2.150000095,0.009999999776,7,4,144,1285,1498,155,,
1624580081,2016-04-01,9218,5.989999771,5.989999771,0.0,0.0,0.0,5.96999979,0.009999999776,0,0,221,1219,1541,221,,
